prophage_contig_name,all_activate_count,stool_activate_count,capsule_activate_count,saliva_activate_count,all_dormant_count,stool_dormant_count,capsule_dormant_count,saliva_dormant_count,all_undetected_count,stool_undetected_count,capsule_undetected_count,saliva_undetected_count,all_active_sample,contig,sample,bin_name,fastani_classification,checkm_marker_lineage,taxonomy,annotated,active
A10_2-k141_36643,15,2,13,0,212,52,133,27,32,4,26,2,"A10_2,A12_2,A2_2,A4_2,A8_2,G13_2,G15_2,O11_2,O13_2,O15_2,O17_2,O19_2,O21_2,O23_2,O7_2,O9_2",k141_36643,A10_2,A10_2.bin.12,NA,p__Actinobacteria (UID2112),p__Actinobacteria (UID2112),yes,yes
A11_1-k141_19613,0,0,0,0,124,32,63,29,135,26,109,0,NA,NA,NA,NA,NA,NA,NA,no,no
A11_2-k141_129946,0,0,0,0,151,52,92,7,108,6,80,22,NA,k141_129946,A11_2,A11_2.bin.56,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995,yes,no
A11_2-k141_183501,0,0,0,0,140,49,90,1,119,9,82,28,NA,NA,NA,NA,NA,NA,NA,no,no
A11_2-k141_99629,2,0,2,0,235,58,156,21,22,0,14,8,"G18_2,G20_2",k141_99629,A11_2,A11_2.bin.50,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__,f__Lachnospiraceae (UID1286),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__,yes,yes
A12_2-k141_30024,0,0,0,0,256,58,169,29,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,no,no
A12_2-k141_39206,0,0,0,0,204,58,145,1,55,0,27,28,NA,NA,NA,NA,NA,NA,NA,no,no
A12_2-k141_60588,13,0,13,0,228,58,148,22,18,0,11,7,"A10_2,A12_2,A2_2,A4_2,A6_2,A8_2,O11_2,O13_2,O15_2,O17_2,O19_2,O21_2,O7_2,O9_2",NA,NA,NA,NA,NA,NA,no,yes
A15_2-k141_144305,15,1,14,0,217,57,131,29,27,0,27,0,"A10_2,A12_2,A2_2,A4_2,A6_2,A8_2,G15_2,H1_2,J3_2,O11_2,O13_2,O15_2,O17_2,O19_2,O7_2,O9_2",NA,NA,NA,NA,NA,NA,no,yes
A15_2-k141_34839,0,0,0,0,225,57,140,28,34,1,32,1,NA,NA,NA,NA,NA,NA,NA,no,no
A15_2-k141_51284,0,0,0,0,246,58,160,28,13,0,12,1,NA,NA,NA,NA,NA,NA,NA,no,yes
A15_2-k141_67109,19,2,17,0,239,56,154,29,1,0,1,0,"A11_2,A1_2,B17_1,B19_1,D17_1,F17_1,G10_2,G18_2,G20_2,G22_2,G2_2,G4_2,G6_2,G8_2,H17_1,I2_2,J11_2,J13_2,J15_2,L17_1,P15_1",k141_67109,A15_2,A15_2.bin.43,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,yes,yes
A15_2-k141_85236,1,0,1,0,214,58,153,3,44,0,18,26,I10_2,k141_85236,A15_2,A15_2.bin.9,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes,f__Lachnospiraceae (UID1256),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes,yes,yes
A16_2-k141_27923,0,0,0,0,237,58,155,24,22,0,17,5,NA,NA,NA,NA,NA,NA,NA,no,no
A16_2-k141_59131,0,0,0,0,230,58,161,11,29,0,11,18,NA,NA,NA,NA,NA,NA,NA,no,yes
A16_2-k141_71009,7,0,7,0,241,58,156,27,11,0,9,2,"B17_1,D17_1,F15_1,F23_1,J19_1,L23_1,O17_1,O23_1,P15_1",NA,NA,NA,NA,NA,NA,no,yes
A16_2-k141_73899,0,0,0,0,237,58,158,21,22,0,14,8,NA,k141_73899,A16_2,A16_2.bin.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale,f__Lachnospiraceae (UID1286),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale,yes,no
A17_1-k141_94904,1,0,0,1,144,46,70,28,114,12,102,0,A11_1,NA,NA,NA,NA,NA,NA,no,yes
A17_2-k141_122266,0,0,0,0,156,47,94,15,103,11,78,14,NA,k141_122266,A17_2,A17_2.bin.7,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,f__Enterobacteriaceae (UID5124),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,yes,no
A17_2-k141_1522,0,0,0,0,230,58,152,20,29,0,20,9,NA,k141_1522,A17_2,A17_2.bin.35,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
A17_2-k141_21451,0,0,0,0,242,58,155,29,17,0,17,0,NA,NA,NA,NA,NA,NA,NA,no,no
A17_2-k141_66249,0,0,0,0,236,58,149,29,23,0,23,0,NA,NA,NA,NA,NA,NA,NA,no,yes
A17_2-k141_73834,0,0,0,0,230,58,152,20,29,0,20,9,NA,NA,NA,NA,NA,NA,NA,no,no
A17_2-k141_97405,0,0,0,0,155,44,84,27,104,14,88,2,NA,NA,NA,NA,NA,NA,NA,no,no
A18_2-k141_31907,1,0,1,0,244,58,159,27,14,0,12,2,O2_2,NA,NA,NA,NA,NA,NA,no,yes
A18_2-k141_49938,0,0,0,0,250,58,163,29,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,no,no
A19_1-k141_77260,0,0,0,0,244,58,157,29,15,0,15,0,NA,k141_77260,A19_1,A19_1.bin.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava_B,f__Neisseriaceae (UID3890),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava_B,yes,no
A19_1-k141_78340,0,0,0,0,168,54,85,29,91,4,87,0,NA,NA,NA,NA,NA,NA,NA,no,no
A19_1-k141_83822,0,0,0,0,127,30,68,29,132,28,104,0,NA,NA,NA,NA,NA,NA,NA,no,no
A19_2-k141_32326,0,0,0,0,253,58,166,29,6,0,6,0,I6_2,NA,NA,NA,NA,NA,NA,no,yes
A19_2-k141_39744,6,0,6,0,146,43,78,25,107,15,88,4,"I10_2,I22_2,J15_2,K2_2,K6_2,K8_2,P23_2",NA,NA,NA,NA,NA,NA,no,yes
A19_2-k141_81783,0,0,0,0,225,58,139,28,34,0,33,1,NA,NA,NA,NA,NA,NA,NA,no,no
A19_2-k141_84185,8,0,8,0,202,52,122,28,49,6,42,1,"I10_2,I18_2,I22_2,I8_2,J15_2,K2_2,K4_2,K6_2,K8_2,P23_2",NA,NA,NA,NA,NA,NA,no,yes
A21_2-k141_684,0,0,0,0,246,58,162,26,13,0,10,3,NA,k141_684,A21_2,A21_2.bin.25,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,yes,yes
A22_2-k141_100259,1,0,1,0,154,33,92,29,104,25,79,0,A18_2,NA,NA,NA,NA,NA,NA,no,yes
A22_2-k141_21232,0,0,0,0,54,6,19,29,205,52,153,0,NA,NA,NA,NA,NA,NA,NA,no,no
A3_2-k141_19497,0,0,0,0,259,58,172,29,0,0,0,0,NA,k141_19497,A3_2,A3_2.bin.35,NA,o__Clostridiales (UID1120),o__Clostridiales (UID1120),yes,no
A3_2-k141_265745,0,0,0,0,217,58,146,13,42,0,26,16,NA,NA,NA,NA,NA,NA,NA,no,yes
A4_2-k141_49377,1,0,1,0,252,58,165,29,6,0,6,0,A6_2,k141_49377,A4_2,A4_2.bin.10,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,no
A7_2-k141_121689,12,3,9,0,142,51,88,3,105,4,75,26,"C11_1,E3_2,E7_2,G10_2,G18_2,G20_2,G22_2,G2_2,G4_2,G6_2,J11_2,J13_2,L21_1",NA,NA,NA,NA,NA,NA,no,yes
A8_2-k141_11335,0,0,0,0,241,56,156,29,18,2,16,0,NA,k141_11335,A8_2,A8_2.bin.21,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,f__Enterobacteriaceae (UID5124),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,yes,no
A8_2-k141_15809,1,0,1,0,159,36,104,19,99,22,67,10,P15_1,k141_15809,A8_2,A8_2.bin.21,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,f__Enterobacteriaceae (UID5124),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,yes,yes
A8_2-k141_58787,6,0,6,0,234,58,155,21,19,0,11,8,"A12_2,A2_2,O12_2,O13_2,O15_2,O7_2,O9_2",NA,NA,NA,NA,NA,NA,no,yes
A8_2-k141_84990,0,0,0,0,210,58,135,17,49,0,37,12,NA,k141_84990,A8_2,A8_2.bin.28,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
A8_2-k141_86002,0,0,0,0,205,58,145,2,54,0,27,27,NA,NA,NA,NA,NA,NA,NA,no,yes
A8_2-k141_88586,0,0,0,0,241,58,154,29,18,0,18,0,NA,NA,NA,NA,NA,NA,NA,no,no
A8_2-k141_88772,0,0,0,0,173,41,109,23,86,17,63,6,NA,k141_88772,A8_2,A8_2.bin.21,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,f__Enterobacteriaceae (UID5124),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,yes,no
A8_2-k141_9489,12,1,11,0,215,57,145,13,32,0,16,16,"A10_2,A12_2,A2_2,A8_2,G13_2,O11_2,O13_2,O15_2,O17_2,O19_2,O21_2,O7_2,O9_2",NA,NA,NA,NA,NA,NA,no,yes
A9_2-k141_154999,11,2,9,0,165,51,111,3,83,5,52,26,"A11_2,A9_2,G18_2,G20_2,G22_2,G2_2,G4_2,G6_2,I2_2,J11_2,J13_2",NA,NA,NA,NA,NA,NA,no,yes
A9_2-k141_173629,1,0,1,0,204,58,139,7,54,0,32,22,G10_2,k141_173629,A9_2,A9_2.bin.66,NA,f__Lachnospiraceae (UID1286),f__Lachnospiraceae (UID1286),yes,yes
A9_2-k141_185865,0,0,0,0,223,58,150,15,36,0,22,14,NA,NA,NA,NA,NA,NA,NA,no,yes
A9_2-k141_198554,0,0,0,0,237,58,152,27,22,0,20,2,NA,k141_198554,A9_2,A9_2.bin.55,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
A9_2-k141_210000,0,0,0,0,235,58,152,25,24,0,20,4,NA,NA,NA,NA,NA,NA,NA,no,no
A9_2-k141_24686,9,4,5,0,123,46,68,9,127,8,99,20,"A3_2,A5_2,A7_2,A9_2,G18_2,G20_2,G22_2,G2_2,J11_2",NA,NA,NA,NA,NA,NA,no,yes
A9_2-k141_57957,0,0,0,0,220,57,136,27,39,1,36,2,NA,k141_57957,A9_2,A9_2.bin.55,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
B11_2-k141_34741,0,0,0,0,243,58,160,25,16,0,12,4,NA,k141_34741,B11_2,B11_2.bin.16,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,no
B11_2-k141_46719,0,0,0,0,238,58,151,29,21,0,21,0,NA,NA,NA,NA,NA,NA,NA,no,no
B11_2-k141_49844,0,0,0,0,228,58,159,11,31,0,13,18,NA,k141_49844,B11_2,B11_2.bin.16,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,no
B13_2-k141_18069,0,0,0,0,259,58,172,29,0,0,0,0,NA,k141_18069,B13_2,B13_2.bin.34,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,yes
B13_2-k141_34719,4,0,4,0,248,58,162,28,7,0,6,1,"H19_2,H1_2,H3_2,J3_2",NA,NA,NA,NA,NA,NA,no,yes
B13_2-k141_57935,3,1,2,0,248,57,162,29,8,0,8,0,"B11_2,B15_2,C19_1",k141_57935,B13_2,B13_2.bin.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,o__Bacteroidales (UID2657),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,yes,yes
B15_2-k141_8904,0,0,0,0,240,58,162,20,19,0,10,9,NA,k141_8904,B15_2,B15_2.bin.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii_A,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii_A,yes,no
B17_1-k141_12412,0,0,0,0,247,58,160,29,12,0,12,0,L17_1,k141_12412,B17_1,B17_1.bin.7,NA,f__Bifidobacteriaceae (UID1462),f__Bifidobacteriaceae (UID1462),yes,yes
B17_1-k141_33816,0,0,0,0,243,58,158,27,16,0,14,2,NA,k141_33816,B17_1,B17_1.bin.6,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,yes,no
B17_1-k141_35017,12,8,4,0,210,50,146,14,37,0,22,15,"D17_2,D21_2,E23_2,F13_2,F7_2,G11_2,G19_2,G1_2,G3_2,G5_2,G7_2,G9_2",NA,NA,NA,NA,NA,NA,no,yes
B17_1-k141_6024,1,0,1,0,215,58,142,15,43,0,29,14,"B19_1,F17_1",k141_6024,B17_1,B17_1.bin.6,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,yes,yes
B17_2-k141_14558,0,0,0,0,233,58,159,16,26,0,13,13,NA,NA,NA,NA,NA,NA,NA,no,yes
B17_2-k141_17739,13,1,12,0,142,43,91,8,104,14,69,21,"B11_2,B13_2,B15_2,B17_2,B19_2,B21_2,B5_2,B7_2,B9_2,D1_2,D3_2,D7_2,D9_2,E17_2",NA,NA,NA,NA,NA,NA,no,yes
B17_2-k141_1793,0,0,0,0,212,56,127,29,47,2,45,0,NA,NA,NA,NA,NA,NA,NA,no,no
B1_2-k141_70933,0,0,0,0,204,55,143,6,55,3,29,23,NA,k141_70933,B1_2,B1_2.bin.2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,yes,no
B23_1-k141_2672,0,0,0,0,210,52,129,29,49,6,43,0,NA,NA,NA,NA,NA,NA,NA,no,no
B23_1-k141_4053,0,0,0,0,254,58,167,29,5,0,5,0,NA,NA,NA,NA,NA,NA,NA,no,no
B23_2-k141_18787,0,0,0,0,251,58,164,29,8,0,8,0,NA,NA,NA,NA,NA,NA,NA,no,yes
B23_2-k141_27486,0,0,0,0,200,58,135,7,59,0,37,22,NA,k141_27486,B23_2,B23_2.bin.11,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absiella;s__Absiella sp000163515,k__Bacteria (UID2372),d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absiella;s__Absiella sp000163515,yes,yes
B23_2-k141_30314,0,0,0,0,241,58,163,20,18,0,9,9,NA,NA,NA,NA,NA,NA,NA,no,yes
B23_2-k141_34705,0,0,0,0,240,58,155,27,19,0,17,2,NA,k141_34705,B23_2,B23_2.bin.37,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
B23_2-k141_41781,0,0,0,0,139,53,79,7,120,5,93,22,NA,k141_41781,B23_2,B23_2.bin.22,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,no
B23_2-k141_43068,0,0,0,0,250,58,164,28,9,0,8,1,NA,k141_43068,B23_2,B23_2.bin.32,NA,f__Lachnospiraceae (UID1286),f__Lachnospiraceae (UID1286),yes,no
B23_2-k141_6274,0,0,0,0,140,50,83,7,119,8,89,22,NA,k141_6274,B23_2,B23_2.bin.22,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,no
B3_2-k141_37400,0,0,0,0,197,56,138,3,62,2,34,26,NA,NA,NA,NA,NA,NA,NA,no,no
B3_2-k141_45267,0,0,0,0,251,58,164,29,8,0,8,0,NA,NA,NA,NA,NA,NA,NA,no,yes
B3_2-k141_95580,1,0,1,0,227,58,159,10,31,0,12,19,O14_2,NA,NA,NA,NA,NA,NA,no,yes
B3_2-k141_99852,0,0,0,0,236,58,151,27,23,0,21,2,NA,NA,NA,NA,NA,NA,NA,no,no
B5_2-k141_37866,0,0,0,0,210,58,148,4,49,0,24,25,NA,k141_37866,B5_2,B5_2.bin.5,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,no
B9_2-k141_28310,0,0,0,0,220,57,140,23,39,1,32,6,NA,NA,NA,NA,NA,NA,NA,no,no
B9_2-k141_43405,1,0,1,0,232,58,159,15,26,0,12,14,F7_2,k141_43405,B9_2,B9_2.bin.12,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,yes
C11_1-k141_98109,0,0,0,0,227,58,161,8,32,0,11,21,NA,k141_98109,C11_1,C11_1.bin.9,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,no
C11_2-k141_174860,11,3,8,0,242,55,158,29,6,0,6,0,"C1_2,C9_2,E2_2,G9_2,J19_2,K12_2,K22_2,M10_2,M2_2,M6_2,M8_2,O2_2,O4_2",k141_174860,C11_2,C11_2.bin.23,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,yes
C11_2-k141_202524,0,0,0,0,220,58,143,19,39,0,29,10,NA,NA,NA,NA,NA,NA,NA,no,no
C11_2-k141_71430,7,0,7,0,219,58,137,24,33,0,28,5,"J19_2,M22_2,O10_2,O14_2,O2_2,O4_2,O8_2",k141_71430,C11_2,C11_2.bin.42,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,yes
C11_2-k141_75350,0,0,0,0,235,58,154,23,24,0,18,6,NA,k141_75350,C11_2,C11_2.bin.35,NA,f__Lachnospiraceae (UID1255),f__Lachnospiraceae (UID1255),yes,no
C13_1-k141_111672,1,1,0,0,180,57,121,2,78,0,51,27,E9_2,NA,NA,NA,NA,NA,NA,no,yes
C13_1-k141_2370,1,0,1,0,202,58,141,3,56,0,30,26,"G1_1,N21_1",NA,NA,NA,NA,NA,NA,no,yes
C13_1-k141_76216,1,0,1,0,212,58,142,12,46,0,29,17,"B19_1,D17_1,N15_1",NA,NA,NA,NA,NA,NA,no,yes
C13_2-k141_135039,16,2,14,0,226,56,144,26,17,0,14,3,"A21_2,A23_2,B3_2,G10_2,G18_2,G20_2,G2_2,G4_2,G6_2,H19_2,H3_2,J11_2,J13_2,J3_2,L21_1,O2_2,O4_2",k141_135039,C13_2,C13_2.bin.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915,f__Lachnospiraceae (UID1286),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915,yes,yes
C13_2-k141_14016,1,0,1,0,238,58,156,24,20,0,15,5,B3_2,k141_14016,C13_2,C13_2.bin.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915,f__Lachnospiraceae (UID1286),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915,yes,yes
C13_2-k141_186049,1,0,1,0,244,58,159,27,14,0,12,2,O2_2,k141_186049,C13_2,C13_2.bin.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915,f__Lachnospiraceae (UID1286),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915,yes,yes
C13_2-k141_45399,0,0,0,0,162,54,91,17,97,4,81,12,NA,NA,NA,NA,NA,NA,NA,no,no
C13_2-k141_7825,0,0,0,0,243,58,156,29,16,0,16,0,NA,k141_7825,C13_2,C13_2.bin.28,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,yes
C13_2-k141_92872,0,0,0,0,211,58,148,5,48,0,24,24,NA,k141_92872,C13_2,C13_2.bin.77,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp000438155,f__Lachnospiraceae (UID1286),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp000438155,yes,no
C15_1-k141_176942,0,0,0,0,173,51,119,3,86,7,53,26,NA,NA,NA,NA,NA,NA,NA,no,no
C15_1-k141_200213,2,0,2,0,193,55,136,2,64,3,34,27,"G22_2,J13_2",NA,NA,NA,NA,NA,NA,no,yes
C15_1-k141_201913,0,0,0,0,194,52,130,12,65,6,42,17,NA,k141_201913,C15_1,C15_1.bin.29,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai,k__Bacteria (UID2372),d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai,yes,no
C15_1-k141_208764,1,0,1,0,243,58,160,25,15,0,11,4,J3_2,k141_208764,C15_1,C15_1.bin.15,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,yes
C15_1-k141_214734,0,0,0,0,179,53,125,1,80,5,47,28,NA,k141_214734,C15_1,C15_1.bin.48,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,yes,no
C15_1-k141_37478,1,0,1,0,245,58,159,28,13,0,12,1,H23_1,k141_37478,C15_1,C15_1.bin.26,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115,yes,yes
C15_1-k141_49493,0,0,0,0,221,58,136,27,38,0,36,2,NA,k141_49493,C15_1,C15_1.bin.37,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995,yes,no
C15_2-k141_0,0,0,0,0,243,58,156,29,16,0,16,0,NA,k141_0,C15_2,C15_2.bin.10,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,yes
C15_2-k141_106709,0,0,0,0,246,58,159,29,13,0,13,0,NA,k141_106709,C15_2,C15_2.bin.3,NA,k__Bacteria (UID2982),k__Bacteria (UID2982),yes,no
C15_2-k141_10742,1,0,1,0,236,58,158,20,22,0,13,9,O2_2,k141_10742,C15_2,C15_2.bin.26,NA,f__Lachnospiraceae (UID1286),f__Lachnospiraceae (UID1286),yes,yes
C15_2-k141_141625,0,0,0,0,161,58,87,16,98,0,85,13,NA,k141_141625,C15_2,C15_2.bin.4,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
C15_2-k141_181356,0,0,0,0,177,52,105,20,82,6,67,9,NA,NA,NA,NA,NA,NA,NA,no,yes
