Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
demux_S_165.scaffolds_101_2	-	CE1(36-263)	-	-	1
demux_S_165.scaffolds_102_11	-	GT2(12-151)	-	GT2	2
demux_S_165.scaffolds_102_12	-	GT4(299-382)	-	GT4	2
demux_S_165.scaffolds_102_2	-	GT14(5-249)	-	GT14	2
demux_S_165.scaffolds_102_8	-	GT4(2-120)	-	-	1
demux_S_165.scaffolds_112_7	-	GT11(3-277)	-	GT11	2
demux_S_165.scaffolds_116_3	-	GH2(21-594)	-	GH2	2
demux_S_165.scaffolds_117_2	-	GT2(35-156)	-	GT2	2
demux_S_165.scaffolds_117_3	-	GT2(2-149)	-	-	1
demux_S_165.scaffolds_117_4	-	GT4(237-381)	-	GT4	2
demux_S_165.scaffolds_12_105	-	GT9(67-272)	-	GT9	2
demux_S_165.scaffolds_12_106	-	GT30(37-216)	-	GT30	2
demux_S_165.scaffolds_12_7	-	GH23(646-774)	-	GH23	2
demux_S_165.scaffolds_14_1	-	GH27(132-366)	-	CBM35+GH27	2
demux_S_165.scaffolds_14_14	-	GH92(247-740)	-	GH92	2
demux_S_165.scaffolds_14_17	-	GH92(244-751)	-	GH92	2
demux_S_165.scaffolds_14_18	-	GH92(242-748)	-	GH92	2
demux_S_165.scaffolds_14_23	-	GH97(11-666)	-	GH97	2
demux_S_165.scaffolds_14_25	2.4.1.320|2.4.1.319	GH130(27-328)	2.4.1.-	GH130	3
demux_S_165.scaffolds_14_27	-	GH109(14-412)	-	GH109	2
demux_S_165.scaffolds_14_31	3.2.1.23	GH2(48-902)	3.2.1.-	GH2	3
demux_S_165.scaffolds_14_33	-	GH23(103-237)	-	GH23	2
demux_S_165.scaffolds_14_48	-	GH30_6(43-493)	-	GH30_6	2
demux_S_165.scaffolds_14_52	2.4.1.281	GH130(51-362)	2.4.1.-	GH130	3
demux_S_165.scaffolds_14_83	-	GH92(241-729)	-	GH92	2
demux_S_165.scaffolds_15_15	-	GH20(154-512)	-	GH20	2
demux_S_165.scaffolds_15_16	-	GH2(48-903)	-	GH2	2
