user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
A11_1.bin.10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001815355.1, s__Haemophilus_D sp001815355, 95.0, 94.86, 0.88; GCF_003252725.1, s__Haemophilus_D parainfluenzae_L, 95.0, 94.86, 0.91; GCF_003252795.1, s__Haemophilus_D parainfluenzae_K, 95.0, 94.67, 0.89; GCF_001679485.1, s__Haemophilus_D sp001679485, 95.0, 94.43, 0.88; GCF_003252755.1, s__Haemophilus_D parainfluenzae_N, 95.0, 94.06, 0.91; GCF_000210895.1, s__Haemophilus_D parainfluenzae_A, 95.0, 94.03, 0.9; GCF_000191405.1, s__Haemophilus_D parainfluenzae, 95.0, 93.91, 0.91; GCF_003253005.1, s__Haemophilus_D parainfluenzae_M, 95.0, 93.46, 0.86; GCF_001053035.1, s__Haemophilus_D parainfluenzae_J, 95.0, 92.69, 0.84; GCF_900186995.1, s__Haemophilus_D pittmaniae, 95.0, 82.99, 0.53	89.46	11	0.99693564488	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
A11_1.bin.9	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	GCF_000194945.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	95.07	0.94	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_000194945.1, s__Streptococcus sanguinis, 95.0, 95.07, 0.94; GCF_000212815.1, s__Streptococcus sanguinis_C, 95.0, 94.55, 0.89; GCF_001078705.1, s__Streptococcus sanguinis_D, 95.0, 94.14, 0.94; GCF_000212855.1, s__Streptococcus sanguinis_A, 95.0, 94.03, 0.95; GCF_001553855.1, s__Streptococcus gordonii, 95.0, 85.94, 0.61; GCA_001578795.1, s__Streptococcus gordonii_A, 95.0, 85.4, 0.57; GCF_000220065.1, s__Streptococcus sp000220065, 95.0, 85.01, 0.45; GCF_001578775.1, s__Streptococcus cristatus_A, 95.0, 84.77, 0.59; GCF_000767835.1, s__Streptococcus sinensis, 95.0, 84.55, 0.58; GCF_000222765.1, s__Streptococcus cristatus, 95.0, 84.54, 0.6; GCF_000385925.1, s__Streptococcus cristatus_B, 95.0, 84.21, 0.61; GCA_001578865.1, s__Streptococcus sp001578865, 95.0, 80.83, 0.71; GCF_000413475.1, s__Streptococcus intermedius, 95.0, 80.45, 0.22; GCF_002356415.1, s__Streptococcus oralis_F, 95.0, 79.24, 0.26; GCF_002096595.1, s__Streptococcus oralis_D, 95.0, 79.23, 0.23; GCF_000257785.1, s__Streptococcus constellatus, 95.0, 79.22, 0.24; GCF_000146585.1, s__Streptococcus mitis_AZ, 95.0, 79.19, 0.23; GCF_002096445.1, s__Streptococcus oralis_N, 95.0, 79.17, 0.24; GCF_000235485.1, s__Streptococcus sp000235485, 95.0, 79.15, 0.24; GCF_000963255.1, s__Streptococcus infantis_F, 95.0, 79.05, 0.19; GCF_000382805.1, s__Streptococcus oralis_AC, 95.0, 79.04, 0.23; GCF_000253155.1, s__Streptococcus oralis_L, 95.0, 79.03, 0.28; GCF_002096615.1, s__Streptococcus oralis_U, 95.0, 79.01, 0.25; GCF_001076775.1, s__Streptococcus pseudopneumoniae_G, 95.0, 79.0, 0.25; GCF_002096435.1, s__Streptococcus oralis_AA, 95.0, 78.97, 0.24; GCF_001579645.1, s__Streptococcus infantis_E, 95.0, 78.93, 0.2; GCF_002014885.1, s__Streptococcus oralis, 95.0, 78.91, 0.25; GCF_000221165.1, s__Streptococcus mitis_AX, 95.0, 78.91, 0.26; GCF_001579175.1, s__Streptococcus oralis_O, 95.0, 78.91, 0.24; GCF_000287715.1, s__Streptococcus oralis_Y, 95.0, 78.88, 0.25; GCF_002096675.1, s__Streptococcus dentisani, 95.0, 78.88, 0.23; GCF_000959945.1, s__Streptococcus oralis_B, 95.0, 78.86, 0.25; GCF_001588645.1, s__Streptococcus oralis_AB, 95.0, 78.86, 0.24; GCF_001074565.1, s__Streptococcus pseudopneumoniae_J, 95.0, 78.85, 0.24; GCF_001983955.1, s__Streptococcus oralis_H, 95.0, 78.82, 0.25; GCF_000344275.1, s__Streptococcus oralis_E, 95.0, 78.81, 0.23; GCA_000223335.2, s__Streptococcus infantis_H, 95.0, 78.8, 0.2; GCF_000222705.1, s__Streptococcus mitis_AY, 95.0, 78.8, 0.24; GCF_001072375.1, s__Streptococcus pseudopneumoniae_L, 95.0, 78.77, 0.18; GCA_000223255.2, s__Streptococcus infantis_G, 95.0, 78.75, 0.19; GCF_001808705.1, s__Streptococcus sp001808705, 95.0, 78.74, 0.21; GCF_002096335.1, s__Streptococcus oralis_Z, 95.0, 78.73, 0.23; GCF_001068775.1, s__Streptococcus pseudopneumoniae_N, 95.0, 78.72, 0.21; GCF_002355895.1, s__Streptococcus sp002355895, 95.0, 78.72, 0.25; GCF_000257845.1, s__Streptococcus oralis_W, 95.0, 78.71, 0.25; GCF_002096685.1, s__Streptococcus oralis_AD, 95.0, 78.69, 0.22; GCA_000385835.1, s__Streptococcus mitis_AI, 95.0, 78.69, 0.22; GCF_002096755.1, s__Streptococcus mitis_AC, 95.0, 78.69, 0.24; GCF_001578705.1, s__Streptococcus oralis_J, 95.0, 78.67, 0.25; GCF_002096815.1, s__Streptococcus mitis_AD, 95.0, 78.66, 0.21; GCF_001578935.1, s__Streptococcus oralis_R, 95.0, 78.65, 0.24; GCA_000180035.1, s__Streptococcus parasanguinis_C, 95.0, 78.65, 0.23; GCF_001579025.1, s__Streptococcus oralis_X, 95.0, 78.64, 0.26; GCF_002386345.1, s__Streptococcus oralis_S, 95.0, 78.61, 0.25; GCF_000411475.1, s__Streptococcus sp000411475, 95.0, 78.6, 0.21; GCF_000187465.1, s__Streptococcus infantis, 95.0, 78.59, 0.2; GCF_002093545.1, s__Streptococcus oralis_C, 95.0, 78.58, 0.25; GCF_001075675.1, s__Streptococcus oralis_V, 95.0, 78.58, 0.25; GCF_001075875.1, s__Streptococcus oralis_I, 95.0, 78.57, 0.21; GCF_001650315.1, s__Streptococcus sp001650315, 95.0, 78.54, 0.24; GCF_900095845.1, s__Streptococcus timonensis, 95.0, 78.54, 0.18; GCF_002096895.1, s__Streptococcus mitis_AH, 95.0, 78.54, 0.24; GCF_001579525.1, s__Streptococcus oralis_M, 95.0, 78.54, 0.26; GCF_000279535.1, s__Streptococcus infantis_I, 95.0, 78.53, 0.21; GCF_002096255.1, s__Streptococcus oralis_AE, 95.0, 78.52, 0.23; GCF_000259505.1, s__Streptococcus sp000259505, 95.0, 78.52, 0.21; GCF_002014755.1, s__Streptococcus mitis, 95.0, 78.51, 0.24; GCF_001073085.1, s__Streptococcus pseudopneumoniae_M, 95.0, 78.49, 0.22; GCF_002096835.1, s__Streptococcus mitis_W, 95.0, 78.46, 0.23; GCF_001074805.1, s__Streptococcus parasanguinis_A, 95.0, 78.46, 0.24; GCF_002096355.1, s__Streptococcus oralis_T, 95.0, 78.46, 0.21; GCF_000186465.1, s__Streptococcus australis, 95.0, 78.44, 0.28; GCF_000960035.1, s__Streptococcus oralis_G, 95.0, 78.44, 0.25; GCF_001074155.1, s__Streptococcus pseudopneumoniae_A, 95.0, 78.43, 0.21; GCF_001810785.1, s__Streptococcus sp001810785, 95.0, 78.42, 0.21; GCF_001553685.1, s__Streptococcus sp001553685, 95.0, 78.41, 0.23; GCF_900104285.1, s__Streptococcus sp900104285, 95.0, 78.41, 0.25; GCF_001070815.1, s__Streptococcus pseudopneumoniae_P, 95.0, 78.39, 0.23; GCF_000164675.2, s__Streptococcus parasanguinis, 95.0, 78.38, 0.24; GCF_001814775.1, s__Streptococcus sp001814775, 95.0, 78.37, 0.22; GCF_001587175.1, s__Streptococcus sp001587175, 95.0, 78.36, 0.25; GCA_000831085.1, s__Streptococcus sp000831085, 95.0, 78.3, 0.24; GCF_000215385.1, s__Streptococcus infantis_B, 95.0, 78.3, 0.2; GCF_001070805.1, s__Streptococcus pseudopneumoniae_O, 95.0, 78.29, 0.24; GCF_000722815.1, s__Streptococcus mitis_AG, 95.0, 78.29, 0.22; GCF_000220045.1, s__Streptococcus mitis_AP, 95.0, 78.28, 0.24; GCF_002096925.1, s__Streptococcus mitis_AF, 95.0, 78.28, 0.22; GCF_000722765.1, s__Streptococcus mitis_AQ, 95.0, 78.25, 0.25; GCF_001281025.1, s__Streptococcus mitis_AK, 95.0, 78.25, 0.24; GCF_001811505.1, s__Streptococcus sp001811505, 95.0, 78.23, 0.23; GCF_001073155.1, s__Streptococcus parasanguinis_D, 95.0, 78.22, 0.23; GCF_000963275.1, s__Streptococcus parasanguinis_B, 95.0, 78.21, 0.24; GCF_000479315.1, s__Streptococcus sp000479315, 95.0, 78.21, 0.27; GCA_000448565.1, s__Streptococcus sp000448565, 95.0, 78.2, 0.24; GCA_001579665.1, s__Streptococcus mitis_S, 95.0, 78.19, 0.23; GCF_002088025.1, s__Streptococcus anginosus, 95.0, 77.99, 0.25; GCF_000380065.1, s__Streptococcus massiliensis, 95.0, 77.91, 0.22; GCF_000314795.2, s__Streptococcus sp000314795, 95.0, 77.89, 0.24; GCA_001697145.1, s__Streptococcus anginosus_C, 95.0, 77.82, 0.25; GCF_001708305.1, s__Streptococcus himalayensis, 95.0, 77.08, 0.21	65.52	11	N/A	N/A
A11_2.bin.10	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__CAG-475 sp000434435	GCA_000434435.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__CAG-475 sp000434435	97.5	0.82	GCA_000434435.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__CAG-475 sp000434435	97.5	0.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002449145.1, s__CAG-475 sp002449145, 95.0, 83.62, 0.8; GCA_002476605.1, s__CAG-475 sp002476605, 95.0, 80.54, 0.6; GCA_002478945.1, s__CAG-475 sp002478945, 95.0, 80.33, 0.58; GCA_002297185.1, s__CAG-475 sp002297185, 95.0, 80.32, 0.5; GCA_900322215.1, s__CAG-475 sp900322215, 95.0, 77.89, 0.26; GCA_002308215.1, s__CAG-475 sp002308215, 95.0, 77.69, 0.05; GCA_002308155.1, s__CAG-475 sp002308155, 95.0, 77.36, 0.17	83.37	11	N/A	N/A
A11_2.bin.20	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp002103105	GCA_002103105.1	95.0	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp002103105	98.27	0.92	GCA_002103105.1	95.0	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp002103105	98.27	0.92	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002438405.1, s__Zag111 sp002438405, 95.0, 80.99, 0.62; GCA_002102825.1, s__Zag111 sp002102825, 95.0, 80.67, 0.57; GCA_003258735.1, s__Zag111 sp003258735, 95.0, 79.42, 0.56; GCA_002405805.1, s__Zag111 sp002405805, 95.0, 79.27, 0.55; GCA_001899395.1, s__Zag111 sp001899395, 95.0, 78.16, 0.35	83.99	11	N/A	N/A
A11_2.bin.25	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	92.52	11	0.8874921802588287	N/A
A11_2.bin.36	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp002299315	GCA_002299315.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp002299315	96.9	0.86	GCA_002299315.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp002299315	96.9	0.86	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000156655.1, s__Holdemanella biformis, 95.0, 90.88, 0.84	81.11	11	N/A	N/A
A11_2.bin.38	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp003487665	GCA_003487665.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp003487665	97.28	0.73	GCA_003487665.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp003487665	97.28	0.73	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000435555.1, s__CAG-83 sp000435555, 95.0, 87.03, 0.73; GCA_002438575.1, s__CAG-83 sp002438575, 95.0, 87.02, 0.67; GCA_001916855.1, s__CAG-83 sp001916855, 95.0, 81.64, 0.45; GCA_000435975.1, s__CAG-83 sp000435975, 95.0, 81.01, 0.45; GCA_900317425.1, s__CAG-83 sp900317425, 95.0, 81.01, 0.42; GCA_000431575.1, s__CAG-83 sp000431575, 95.0, 80.95, 0.45; GCA_900313295.1, s__CAG-83 sp900313295, 95.0, 80.76, 0.57; GCA_002392625.1, s__CAG-83 sp002392625, 95.0, 80.33, 0.38; GCA_003539495.1, s__CAG-83 sp003539495, 95.0, 80.04, 0.45; GCA_002309395.1, s__CAG-83 sp002309395, 95.0, 78.0, 0.32	76.11	11	N/A	N/A
A11_2.bin.48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	GCA_003538135.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	97.87	0.92	GCA_003538135.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	97.87	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003514385.1, s__CAG-177 sp003514385, 95.0, 88.95, 0.86; GCA_002451755.1, s__CAG-177 sp002451755, 95.0, 87.23, 0.71; GCA_002438685.1, s__CAG-177 sp002438685, 95.0, 86.82, 0.76; GCA_000431775.1, s__CAG-177 sp000431775, 95.0, 79.19, 0.24; GCA_002309055.1, s__CAG-177 sp002309055, 95.0, 77.17, 0.08; GCA_002315935.1, s__CAG-177 sp002315935, 95.0, 76.37, 0.07; GCA_900319455.1, s__CAG-177 sp900319455, 95.0, 75.83, 0.04	82.66	11	N/A	N/A
A11_2.bin.50	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_000434275.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp000434275	79.94	0.36	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001405615.1, s__Agathobacter faecis, 95.0, 79.55, 0.38; GCA_002474415.1, s__Agathobacter sp002474415, 95.0, 79.05, 0.3; GCF_000020605.1, s__Agathobacter rectale, 95.0, 78.61, 0.17; GCA_900317585.1, s__Agathobacter sp900317585, 95.0, 78.47, 0.16; GCA_900316805.1, s__Agathobacter sp900316805, 95.0, 78.16, 0.26; GCF_002735305.1, s__Agathobacter ruminis, 95.0, 77.66, 0.13	87.68	11	0.9711688843498274	N/A
A11_2.bin.56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	GCA_000434995.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	98.37	0.93	GCA_000434995.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	98.37	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000436835.1, s__Eubacterium_R sp000436835, 95.0, 83.26, 0.75; GCA_003526845.1, s__Eubacterium_R sp003526845, 95.0, 78.26, 0.26; GCF_900167205.1, s__Eubacterium_R coprostanoligenes, 95.0, 78.2, 0.27; GCA_002493325.1, s__Eubacterium_R sp002493325, 95.0, 77.73, 0.28; GCA_002493595.1, s__Eubacterium_R sp002493595, 95.0, 77.68, 0.29; GCA_002361935.1, s__Eubacterium_R sp002361935, 95.0, 77.64, 0.22; GCA_000433975.1, s__Eubacterium_R sp000433975, 95.0, 77.48, 0.2; GCA_900321905.1, s__Eubacterium_R sp900321905, 95.0, 77.39, 0.11; GCA_002371215.1, s__Eubacterium_R sp002371215, 95.0, 77.03, 0.1; GCA_002494125.1, s__Eubacterium_R sp002494125, 95.0, 77.02, 0.21; GCA_900316345.1, s__Eubacterium_R sp900316345, 95.0, 76.83, 0.15; GCA_002329285.1, s__Eubacterium_R sp002329285, 95.0, 76.58, 0.13; GCA_000431535.1, s__Eubacterium_R sp000431535, 95.0, 76.31, 0.08	96.67	11	N/A	N/A
